,PC1,PC2,PC3,PC4,PC5
Age,0.0511086843144077,0.30138714065444117,0.7736433866035591,0.5085632716399032,0.20476143314415224
Min,0.5481728354139751,0.8007218833625909,-0.046042407723768636,-0.13398214651313461,-0.06609754647836164
MP,0.6329633671798901,0.6575384072934166,-0.08983817550237207,-0.06638747030979844,-0.002294659916112926
Starts,0.547295098476975,0.7983341762266422,-0.0470660934273923,-0.13685672133044427,-0.06881354792795398
Gls,0.9007097450944598,-0.1073308687854876,0.15009463301851456,-0.24349598229262287,0.07568485986870466
Ast,0.7496426945351495,0.15881861938298394,-0.27841678411042636,0.3779711049346545,-0.17347572792168148
xG,0.8974709116689514,-0.09617848869893889,0.14263818410749013,-0.20768305926113123,0.03213582403477598
xAG,0.7795562609435766,0.1806709948430533,-0.27042975665645064,0.3060745257767203,-0.14732992732295427
90s,0.548172835413975,0.8007218833625906,-0.04604240772376924,-0.13398214651313475,-0.06609754647836168
Goals_per_90,0.747672171551847,-0.43018065120890386,0.13952265331469996,-0.15969077301631598,0.17462700923406171
Assists_per_90,0.5765544174217483,-0.15022672513273752,-0.32353826503472044,0.5782443262361429,-0.14557952616382727
Goal_Contributions_per_90,0.8043190850820533,-0.3998723684954552,-0.052505228629838134,0.15890353176126837,0.06092981204633219
xG_per_90,0.6532470007812019,-0.5303334742219337,0.15635478705678654,-0.1031582144426727,0.09189476857698288
xAG_per_90,0.5231431633897845,-0.25252644643854927,-0.33225313199190715,0.5401746548309663,-0.0650361344994547
Shots_per_90,0.5639472231270856,-0.5424521374592166,0.02027833653029915,0.0005197033825568283,0.06502514041984728
Shot_Accuracy,0.4426879121467616,-0.14101503393240955,-0.12135501328991753,-0.04007822088752584,0.3810252729462585
Pass_Completion_Rate,-0.10011015467513038,0.2835184480377611,-0.21936321886391874,-0.00997872161405897,0.4932334478246289
Tackles_per_90,-0.14783724227056844,0.010140711643384249,-0.4386530503311602,0.1207832347560362,0.49323935646536043
Interceptions_per_90,-0.17774457064435983,0.26685348355414806,-0.29488793374648,0.0708957602495086,0.6697547293362021
Age_Squared,0.03633459132123284,0.2886866933032628,0.7781552264916868,0.5105674953665377,0.20365817106176048
Age_x_Goals,0.8836560678024163,-0.09419530654703086,0.2100743156306728,-0.21246489555786832,0.09942007548511493
Minutes_x_Goals_per_90,0.9006690786364526,-0.10712310722818195,0.15007538453106653,-0.24350449493824464,0.07561067453652703
