Player,Squad,Comp,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Ratio,Actual_Value_M,Predicted_Value_M
Edhy Zuliani,Toulouse,fr Ligue 1,19.0,0,0,50000,12819377.255296424,256.3875451059285,0.05,12.819377255296423
Sávio,Manchester City,eng Premier League,20.0,1,8,200000,36152708.31691376,180.7635415845688,0.2,36.15270831691376
Issiaga Camara,Nice,fr Ligue 1,19.0,0,0,100000,10694319.855406342,106.94319855406341,0.1,10.694319855406341
Sergio Arribas,Betis,es La Liga,21.0,0,0,50000,4286449.165766256,85.72898331532512,0.05,4.286449165766256
Thomas Kristensen,Udinese,it Serie A,22.0,1,0,150000,11067284.34316346,73.78189562108973,0.15,11.067284343163461
Alberto Manzoni,Atalanta,it Serie A,19.0,0,0,300000,19273686.628433343,64.24562209477781,0.3,19.273686628433342
David Torres,Valladolid,es La Liga,21.0,0,0,200000,10136979.250774954,50.68489625387477,0.2,10.136979250774953
Naatan Skyttä,Toulouse,fr Ligue 1,22.0,0,0,400000,14288858.946384292,35.72214736596073,0.4,14.288858946384291
Saad El Haddad,Venezia,it Serie A,19.0,0,0,250000,7611383.173815308,30.44553269526123,0.25,7.611383173815308
Saïmon Bouabré,Monaco,fr Ligue 1,18.0,0,0,200000,5375504.608441551,26.877523042207756,0.2,5.375504608441552
Viggo Gebel,RB Leipzig,de Bundesliga,16.0,0,0,350000,7290365.441887367,20.82961554824962,0.35,7.290365441887366
Arkaitz Mariezkurrena,Real Sociedad,es La Liga,19.0,2,0,500000,10339595.959023967,20.679191918047934,0.5,10.339595959023967
Johan Manzambi,Freiburg,de Bundesliga,18.0,2,1,750000,12945657.77496809,17.260877033290786,0.75,12.94565777496809
Samuel Bamba,Bochum,de Bundesliga,20.0,0,0,800000,12796406.421206905,15.995508026508631,0.8,12.796406421206905
Jayden Danns,Liverpool,eng Premier League,18.0,0,0,1000000,14473901.578722898,14.473901578722899,1.0,14.473901578722899
